
ITEM SEQUENCE ON CONVEYOR
Position 1: Item 109 | Type 1 (pentagon) | Tote 14
Position 2: Item 110 | Type 1 (pentagon) | Tote 14
Position 3: Item 6 | Type 3 (triangle) | Tote 17
Position 4: Item 79 | Type 3 (triangle) | Tote 15
Position 5: Item 78 | Type 3 (triangle) | Tote 15
Position 6: Item 118 | Type 0 (circle) | Tote 15
Position 7: Item 53 | Type 5 (moon) | Tote 10
Position 8: Item 52 | Type 5 (moon) | Tote 10
Position 9: Item 51 | Type 5 (moon) | Tote 10
Position 10: Item 50 | Type 3 (triangle) | Tote 10
Position 11: Item 49 | Type 3 (triangle) | Tote 10
Position 12: Item 47 | Type 6 (heart) | Tote 10
Position 13: Item 46 | Type 1 (pentagon) | Tote 10
Position 14: Item 45 | Type 1 (pentagon) | Tote 10
Position 15: Item 44 | Type 3 (triangle) | Tote 10
Position 16: Item 85 | Type 0 (circle) | Tote 0
Position 17: Item 93 | Type 3 (triangle) | Tote 0
Position 18: Item 83 | Type 0 (circle) | Tote 0
Position 19: Item 91 | Type 6 (heart) | Tote 0
Position 20: Item 94 | Type 3 (triangle) | Tote 0
Position 21: Item 84 | Type 0 (circle) | Tote 0
Position 22: Item 92 | Type 6 (heart) | Tote 0
Position 23: Item 57 | Type 1 (pentagon) | Tote 3
Position 24: Item 56 | Type 1 (pentagon) | Tote 3
Position 25: Item 55 | Type 3 (triangle) | Tote 3
Position 26: Item 54 | Type 5 (moon) | Tote 3
Position 27: Item 33 | Type 0 (circle) | Tote 3
Position 28: Item 32 | Type 2 (trapezoid) | Tote 3
Position 29: Item 31 | Type 2 (trapezoid) | Tote 3
Position 30: Item 30 | Type 2 (trapezoid) | Tote 3
Position 31: Item 29 | Type 4 (star) | Tote 3
Position 32: Item 22 | Type 0 (circle) | Tote 3
Position 33: Item 21 | Type 0 (circle) | Tote 3
Position 34: Item 20 | Type 4 (star) | Tote 3
Position 35: Item 19 | Type 6 (heart) | Tote 3
Position 36: Item 18 | Type 6 (heart) | Tote 3
