size,dataset_id,sh_makespan,sh_sum_ct,sh_avg_ct,n_orders_x,greedy_makespan,greedy_sum_ct,greedy_avg_ct,ls_makespan,ls_sum_ct,ls_avg_ct,n_orders_y,best_sum_ct,winner_sum_ct,best_makespan,winner_makespan
large,1,260,1037,259.25,259,,2608.5,163.03125,,3135.0,184.41176470588235,259,1037.0,scheduling_heuristic,,
large,2,251,1001,250.25,252,,1656.0,118.28571428571428,,5841.0,243.375,252,1001.0,scheduling_heuristic,,
large,3,298,1191,297.75,288,,3520.5,167.64285714285714,,1213.5,121.35,288,1191.0,scheduling_heuristic,,
large,4,268,1070,267.5,269,,553.5,79.07142857142857,,4896.0,233.14285714285717,269,553.5,greedy,,
large,5,287,1145,286.25,279,,505.5,72.21428571428571,,3466.5,182.44736842105263,279,505.5,greedy,,
large,6,259,1035,258.75,266,,1843.5,122.9,,3661.5,192.71052631578948,266,1035.0,scheduling_heuristic,,
large,7,263,1052,263.0,260,,1530.0,139.0909090909091,,6217.5,259.0625,260,1052.0,scheduling_heuristic,,
large,8,304,1214,303.5,292,,1392.0,116.0,,4726.5,225.07142857142856,292,1214.0,scheduling_heuristic,,
large,9,281,1123,280.75,289,,1842.0,131.57142857142858,,3021.0,188.8125,289,1123.0,scheduling_heuristic,,
large,10,299,1196,299.0,299,,664.5,73.83333333333333,,1734.0,133.3846153846154,299,664.5,greedy,,
large,11,241,964,241.0,251,,1197.0,108.8181818181818,,5902.5,227.0192307692308,251,964.0,scheduling_heuristic,,
large,12,272,1086,271.5,269,,3241.5,170.60526315789474,,6073.5,276.0681818181818,269,1086.0,scheduling_heuristic,,
large,13,270,1078,269.5,273,,2041.5,136.1,,7443.0,275.6666666666667,273,1078.0,scheduling_heuristic,,
large,14,269,1075,268.75,260,,1291.5,117.4090909090909,,4596.0,241.8947368421053,260,1075.0,scheduling_heuristic,,
large,15,269,1073,268.25,269,,4809.0,200.375,,10264.5,320.765625,269,1073.0,scheduling_heuristic,,
large,16,244,973,243.25,250,,652.5,81.5625,,5023.5,228.3409090909091,250,652.5,greedy,,
large,17,278,1110,277.5,277,,4890.0,203.75,,4536.0,206.1818181818182,277,1110.0,scheduling_heuristic,,
large,18,286,1142,285.5,273,,5854.5,234.18,,3394.5,212.15625,273,1142.0,scheduling_heuristic,,
large,19,266,1063,265.75,252,,1074.0,134.25,,3246.0,231.8571428571429,252,1063.0,scheduling_heuristic,,
large,20,277,1106,276.5,278,,1462.5,121.875,,5988.0,260.3478260869565,278,1106.0,scheduling_heuristic,,
large,21,306,1221,305.25,298,,1068.0,97.0909090909091,,7198.5,276.86538461538464,298,1068.0,greedy,,
large,22,274,1095,273.75,271,,1497.0,124.75,,4024.5,223.58333333333331,271,1095.0,scheduling_heuristic,,
large,23,290,1159,289.75,280,,876.0,87.6,,5854.5,225.17307692307693,280,876.0,greedy,,
large,24,251,1004,251.0,254,,1309.5,119.04545454545456,,7146.0,285.84,254,1004.0,scheduling_heuristic,,
large,25,242,965,241.25,250,,1606.5,114.75,,5820.0,253.0434782608696,250,965.0,scheduling_heuristic,,
large,26,289,1154,288.5,282,,732.0,104.57142857142856,,4327.5,270.46875,282,732.0,greedy,,
large,27,270,1079,269.75,265,,1477.5,134.3181818181818,,5619.0,255.4090909090909,265,1079.0,scheduling_heuristic,,
large,28,282,1126,281.5,294,,1089.0,99.0,,10650.0,313.2352941176471,294,1089.0,greedy,,
large,29,280,1118,279.5,268,,652.5,93.21428571428572,,4312.5,239.58333333333331,268,652.5,greedy,,
large,30,297,1187,296.75,290,,1507.5,125.625,,4896.0,244.8,290,1187.0,scheduling_heuristic,,
medium,1,29,116,29.0,31,,588.0,84.0,,802.5,89.16666666666667,31,116.0,scheduling_heuristic,,
medium,2,29,114,28.5,30,,783.0,97.875,,1656.0,127.3846153846154,30,114.0,scheduling_heuristic,,
medium,3,36,141,35.25,34,,898.5,81.68181818181819,,996.0,90.54545454545456,34,141.0,scheduling_heuristic,,
medium,4,30,119,29.75,32,,1393.5,107.1923076923077,,990.0,99.0,32,119.0,scheduling_heuristic,,
medium,5,34,136,34.0,33,,616.5,77.0625,,721.5,90.1875,33,136.0,scheduling_heuristic,,
medium,6,32,128,32.0,32,,325.5,65.1,,1198.5,119.85,32,128.0,scheduling_heuristic,,
medium,7,32,126,31.5,31,,681.0,85.125,,1164.0,105.8181818181818,31,126.0,scheduling_heuristic,,
medium,8,36,143,35.75,35,,955.5,86.86363636363636,,670.5,95.78571428571428,35,143.0,scheduling_heuristic,,
medium,9,33,132,33.0,34,,1647.0,109.8,,1912.5,147.1153846153846,34,132.0,scheduling_heuristic,,
medium,10,30,119,29.75,33,,850.5,94.5,,847.5,105.9375,33,119.0,scheduling_heuristic,,
medium,11,27,107,26.75,30,,732.0,81.33333333333333,,460.5,76.75,30,107.0,scheduling_heuristic,,
medium,12,33,131,32.75,32,,430.5,86.1,,795.0,113.57142857142856,32,131.0,scheduling_heuristic,,
medium,13,35,139,34.75,32,,412.5,68.75,,1161.0,116.1,32,139.0,scheduling_heuristic,,
medium,14,35,139,34.75,31,,552.0,78.85714285714286,,817.5,102.1875,31,139.0,scheduling_heuristic,,
medium,15,32,125,31.25,32,,663.0,82.875,,1525.5,127.125,32,125.0,scheduling_heuristic,,
