size,dataset_id,method,makespan,sum_completion_times,avg_completion_time,n_orders
small,1,greedy,,165.0,41.25,6
small,1,baseline,,231.0,46.2,6
small,2,greedy,,190.5,47.625,6
small,2,baseline,,181.5,45.375,6
small,3,greedy,,253.5,50.7,8
small,3,baseline,,177.0,44.25,8
small,4,greedy,,385.5,64.25,7
small,4,baseline,,276.0,55.2,7
small,5,greedy,,166.5,33.3,7
small,5,baseline,,82.5,27.5,7
small,6,greedy,,82.5,27.5,7
small,6,baseline,,82.5,27.5,7
small,7,greedy,,118.5,39.5,6
small,7,baseline,,142.5,47.5,6
small,8,greedy,,457.5,65.35714285714286,8
small,8,baseline,,499.5,71.35714285714286,8
small,9,greedy,,151.5,50.5,8
small,9,baseline,,184.5,46.125,8
small,10,greedy,,265.5,53.1,7
small,10,baseline,,265.5,53.1,7
small,11,greedy,,88.5,29.5,6
small,11,baseline,,88.5,29.5,6
small,12,greedy,,235.5,58.875,7
small,12,baseline,,220.5,55.125,7
small,13,greedy,,189.0,47.25,7
small,13,baseline,,127.5,42.5,7
small,14,greedy,66.0,307.5,51.25,6
small,14,baseline,,61.5,30.75,6
small,15,greedy,87.0,376.5,53.785714285714285,7
small,15,baseline,,157.5,39.375,7
small,16,greedy,,231.0,46.2,6
small,16,baseline,,174.0,43.5,6
small,17,greedy,,243.0,48.6,7
small,17,baseline,,70.5,35.25,7
small,18,greedy,,444.0,74.0,7
small,18,baseline,,246.0,61.5,7
small,19,greedy,,241.5,60.375,6
small,19,baseline,,73.5,36.75,6
small,20,greedy,,273.0,54.6,7
small,20,baseline,,76.5,38.25,7
small,21,greedy,,450.0,75.0,7
small,21,baseline,,334.5,66.9,7
small,22,greedy,,210.0,52.5,7
small,22,baseline,,210.0,52.5,7
small,23,greedy,75.0,337.5,48.214285714285715,7
small,23,baseline,75.0,343.5,49.07142857142857,7
small,24,greedy,,160.5,32.1,6
small,24,baseline,,69.0,23.0,6
small,25,greedy,,219.0,54.75,6
small,25,baseline,,178.5,44.625,6
small,26,greedy,,355.5,71.1,8
small,26,baseline,,363.0,72.6,8
small,27,greedy,,210.0,42.0,6
small,27,baseline,,106.5,35.5,6
small,28,greedy,,259.5,51.9,8
small,28,baseline,,267.0,53.4,8
small,29,greedy,,285.0,71.25,7
small,29,baseline,,267.0,66.75,7
small,30,greedy,,262.5,52.5,8
small,30,baseline,,189.0,47.25,8
medium,1,greedy,,588.0,84.0,31
medium,1,baseline,,498.0,71.14285714285714,31
medium,2,greedy,,783.0,97.875,30
medium,2,baseline,,285.0,57.0,30
medium,3,greedy,,898.5,81.68181818181819,34
medium,3,baseline,,262.5,52.5,34
medium,4,greedy,,1393.5,107.1923076923077,32
medium,4,baseline,,312.0,52.0,32
medium,5,greedy,,616.5,77.0625,33
medium,5,baseline,,393.0,65.5,33
medium,6,greedy,,325.5,65.1,32
medium,6,baseline,,325.5,54.25,32
medium,7,greedy,,681.0,85.125,31
medium,7,baseline,,394.5,78.9,31
medium,8,greedy,,955.5,86.86363636363636,35
medium,8,baseline,,549.0,68.625,35
medium,9,greedy,,1647.0,109.8,34
medium,9,baseline,,343.5,68.7,34
medium,10,greedy,,850.5,94.5,33
medium,10,baseline,,291.0,72.75,33
medium,11,greedy,,732.0,81.33333333333333,30
medium,11,baseline,,346.5,57.75,30
medium,12,greedy,,430.5,86.1,32
medium,12,baseline,,385.5,77.1,32
medium,13,greedy,,412.5,68.75,32
medium,13,baseline,,471.0,78.5,32
medium,14,greedy,,552.0,78.85714285714286,31
medium,14,baseline,,333.0,66.6,31
medium,15,greedy,,663.0,82.875,32
medium,15,baseline,,219.0,54.75,32
medium,16,greedy,,765.0,76.5,30
medium,16,baseline,,276.0,46.0,30
medium,17,greedy,,1111.5,101.04545454545455,33
medium,17,baseline,,351.0,70.2,33
medium,18,greedy,,837.0,93.0,32
medium,18,baseline,,261.0,65.25,32
medium,19,greedy,,1080.0,108.0,30
medium,19,baseline,,424.5,70.75,30
medium,20,greedy,,1024.5,93.13636363636364,33
medium,20,baseline,,931.5,84.68181818181819,33
medium,21,greedy,,912.0,91.2,32
medium,21,baseline,,322.5,64.5,32
medium,22,greedy,,610.5,76.3125,32
medium,22,baseline,,409.5,58.5,32
medium,23,greedy,,649.5,81.1875,33
medium,23,baseline,,231.0,57.75,33
medium,24,greedy,,849.0,94.33333333333333,30
medium,24,baseline,,313.5,62.7,30
medium,25,greedy,,1003.5,111.5,30
