GREEDY — Item Placement Order
Tote sequence: 2 -> 1 -> 3 -> 0

Placement Order,Tote,Conveyor,Order,Item
1,Tote 2,Conv 2,Order 2,circle
2,Tote 2,Conv 2,Order 2,trapezoid
3,Tote 2,Conv 2,Order 2,trapezoid
4,Tote 2,Conv 2,Order 2,trapezoid
5,Tote 2,Conv 1,Order 3,trapezoid
6,Tote 2,Conv 1,Order 3,trapezoid
7,Tote 2,Conv 1,Order 3,trapezoid

8,Tote 1,Conv 1,Order 3,circle
9,Tote 1,Conv 0,Order 1,pentagon
10,Tote 1,Conv 0,Order 1,pentagon
11,Tote 1,Conv 0,Order 1,triangle
12,Tote 1,Conv 0,Order 1,triangle
13,Tote 1,Conv 0,Order 1,triangle

14,Tote 3,Conv 2,Order 2,triangle
15,Tote 3,Conv 1,Order 3,triangle
16,Tote 3,Conv 1,Order 3,triangle
17,Tote 3,Conv 1,Order 3,triangle

18,Tote 0,Conv 3,Order 4,pentagon
19,Tote 0,Conv 3,Order 4,trapezoid
