size,dataset_id,method,makespan,sum_completion_times,avg_completion_time,n_orders
small,1,local_search,,198.0,49.5,6
small,2,local_search,103.5,439.5,73.25,6
small,3,local_search,,394.5,65.75,8
small,4,local_search,,298.5,59.7,7
small,5,local_search,,280.5,56.1,7
small,6,local_search,87.0,460.5,65.78571428571429,7
small,7,local_search,91.5,408.0,68.0,6
small,8,local_search,,406.5,67.75,8
small,9,local_search,123.0,684.0,85.5,8
small,10,local_search,132.0,676.5,96.64285714285714,7
small,11,local_search,70.5,265.5,44.25,6
small,12,local_search,,315.0,78.75,7
small,13,local_search,100.5,526.5,75.21428571428571,7
small,14,local_search,85.5,375.0,62.5,6
small,15,local_search,,357.0,71.4,7
small,16,local_search,78.0,358.5,59.75,6
small,17,local_search,,312.0,62.4,7
small,18,local_search,,373.5,74.7,7
small,19,local_search,127.5,507.0,84.5,6
small,20,local_search,105.0,550.5,78.64285714285714,7
small,21,local_search,,328.5,65.7,7
small,22,local_search,106.5,537.0,76.71428571428571,7
small,23,local_search,91.5,414.0,59.142857142857146,7
small,24,local_search,91.5,438.0,73.0,6
small,25,local_search,100.5,424.5,70.75,6
small,26,local_search,,457.5,76.25,8
small,27,local_search,,246.0,61.5,6
small,28,local_search,91.5,493.5,61.6875,8
small,29,local_search,,442.5,88.5,7
small,30,local_search,,562.5,93.75,8
medium,1,local_search,,802.5,89.16666666666667,31
medium,2,local_search,,1656.0,127.38461538461539,30
medium,3,local_search,,996.0,90.54545454545455,34
medium,4,local_search,,990.0,99.0,32
medium,5,local_search,,721.5,90.1875,33
medium,6,local_search,,1198.5,119.85,32
medium,7,local_search,,1164.0,105.81818181818181,31
medium,8,local_search,,670.5,95.78571428571429,35
medium,9,local_search,,1912.5,147.1153846153846,34
medium,10,local_search,,847.5,105.9375,33
medium,11,local_search,,460.5,76.75,30
medium,12,local_search,,795.0,113.57142857142857,32
medium,13,local_search,,1161.0,116.1,32
medium,14,local_search,,817.5,102.1875,31
medium,15,local_search,,1525.5,127.125,32
medium,16,local_search,,1530.0,127.5,30
medium,17,local_search,,553.5,79.07142857142857,33
medium,18,local_search,,867.0,108.375,32
medium,19,local_search,,573.0,95.5,30
medium,20,local_search,,655.5,93.64285714285714,33
medium,21,local_search,,681.0,97.28571428571429,32
medium,22,local_search,,717.0,89.625,32
medium,23,local_search,,1170.0,106.36363636363636,33
medium,24,local_search,,840.0,105.0,30
medium,25,local_search,,442.5,88.5,30
medium,26,local_search,,613.5,102.25,34
medium,27,local_search,,877.5,109.6875,31
medium,28,local_search,,955.5,95.55,35
medium,29,local_search,,751.5,107.35714285714286,32
medium,30,local_search,,900.0,100.0,35
large,1,local_search,,3135.0,184.41176470588235,259
large,2,local_search,,5841.0,243.375,252
large,3,local_search,,1213.5,121.35,288
large,4,local_search,,4896.0,233.14285714285714,269
large,5,local_search,,3466.5,182.44736842105263,279
large,6,local_search,,3661.5,192.71052631578948,266
large,7,local_search,,6217.5,259.0625,260
large,8,local_search,,4726.5,225.07142857142858,292
large,9,local_search,,3021.0,188.8125,289
large,10,local_search,,1734.0,133.3846153846154,299
large,11,local_search,,5902.5,227.01923076923077,251
large,12,local_search,,6073.5,276.0681818181818,269
large,13,local_search,,7443.0,275.6666666666667,273
large,14,local_search,,4596.0,241.89473684210526,260
large,15,local_search,,10264.5,320.765625,269
large,16,local_search,,5023.5,228.3409090909091,250
large,17,local_search,,4536.0,206.1818181818182,277
large,18,local_search,,3394.5,212.15625,273
large,19,local_search,,3246.0,231.85714285714286,252
large,20,local_search,,5988.0,260.3478260869565,278
large,21,local_search,,7198.5,276.86538461538464,298
large,22,local_search,,4024.5,223.58333333333334,271
large,23,local_search,,5854.5,225.17307692307693,280
large,24,local_search,,7146.0,285.84,254
large,25,local_search,,5820.0,253.04347826086956,250
large,26,local_search,,4327.5,270.46875,282
large,27,local_search,,5619.0,255.4090909090909,265
large,28,local_search,,10650.0,313.2352941176471,294
large,29,local_search,,4312.5,239.58333333333334,268
large,30,local_search,,4896.0,244.8,290
