step,tote_id,conveyor,order_id,item_type,item_name
1,0,2,6,5,moon
2,0,2,6,3,triangle
3,0,2,6,3,triangle
4,0,1,2,2,trapezoid
5,0,1,2,2,trapezoid
6,0,1,2,2,trapezoid
7,0,1,2,0,circle
8,0,0,1,3,triangle
9,0,0,1,3,triangle
10,0,0,1,3,triangle
11,0,0,1,1,pentagon
12,0,0,1,1,pentagon
13,1,3,4,1,pentagon
14,1,2,3,3,triangle
15,1,2,3,3,triangle
16,1,2,3,3,triangle
17,1,2,3,2,trapezoid
18,1,2,3,2,trapezoid
19,1,2,3,2,trapezoid
20,1,2,3,0,circle
21,1,1,2,3,triangle
22,1,0,5,1,pentagon
23,1,0,5,1,pentagon
24,2,0,7,4,star
25,2,0,7,4,star
26,2,0,7,2,trapezoid
27,3,3,4,2,trapezoid
