size,dataset_id,method,makespan,sum_completion_times,avg_completion_time,n_orders
small,1,SPT,7,17,4.25,6
small,1,LPT,5,17,4.25,6
small,2,SPT,9,28,7.0,6
small,2,LPT,8,28,7.0,6
small,3,SPT,9,28,7.0,8
small,3,LPT,8,28,7.0,8
small,4,SPT,9,25,6.25,7
small,4,LPT,7,25,6.25,7
small,5,SPT,6,20,5.0,7
small,5,LPT,6,20,5.0,7
small,6,SPT,7,19,4.75,7
small,6,LPT,6,19,4.75,7
small,7,SPT,10,24,6.0,6
small,7,LPT,7,24,6.0,6
small,8,SPT,9,29,7.25,8
small,8,LPT,8,29,7.25,8
small,9,SPT,12,34,8.5,8
small,9,LPT,10,34,8.5,8
small,10,SPT,12,35,8.75,7
small,10,LPT,10,35,8.75,7
small,11,SPT,7,17,4.25,6
small,11,LPT,6,17,4.25,6
small,12,SPT,11,32,8.0,7
small,12,LPT,9,32,8.0,7
small,13,SPT,10,28,7.0,7
small,13,LPT,7,28,7.0,7
small,14,SPT,9,21,5.25,6
small,14,LPT,7,21,5.25,6
small,15,SPT,10,28,7.0,7
small,15,LPT,8,28,7.0,7
small,16,SPT,7,17,4.25,6
small,16,LPT,5,17,4.25,6
small,17,SPT,10,26,6.5,7
small,17,LPT,8,26,6.5,7
small,18,SPT,12,34,8.5,7
small,18,LPT,10,34,8.5,7
small,19,SPT,12,35,8.75,6
small,19,LPT,11,35,8.75,6
small,20,SPT,10,27,6.75,7
small,20,LPT,7,27,6.75,7
small,21,SPT,11,32,8.0,7
small,21,LPT,9,32,8.0,7
small,22,SPT,10,30,7.5,7
small,22,LPT,9,30,7.5,7
small,23,SPT,9,24,6.0,7
small,23,LPT,6,24,6.0,7
small,24,SPT,9,24,6.0,6
small,24,LPT,7,24,6.0,6
small,25,SPT,10,26,6.5,6
small,25,LPT,8,26,6.5,6
small,26,SPT,11,35,8.75,8
small,26,LPT,10,35,8.75,8
small,27,SPT,9,20,5.0,6
small,27,LPT,8,20,5.0,6
small,28,SPT,9,25,6.25,8
small,28,LPT,7,25,6.25,8
small,29,SPT,12,35,8.75,7
small,29,LPT,9,35,8.75,7
small,30,SPT,13,33,8.25,8
small,30,LPT,9,33,8.25,8
medium,1,SPT,33,116,29.0,31
medium,1,LPT,29,116,29.0,31
medium,2,SPT,32,114,28.5,30
medium,2,LPT,29,114,28.5,30
medium,3,SPT,39,141,35.25,34
medium,3,LPT,36,141,35.25,34
medium,4,SPT,33,119,29.75,32
medium,4,LPT,30,119,29.75,32
medium,5,SPT,38,136,34.0,33
medium,5,LPT,34,136,34.0,33
medium,6,SPT,34,128,32.0,32
